arrival_date,number_in_party,n
2021-01-26,1,2
2021-01-29,1,2
2021-02-01,1,2
2021-02-02,1,3
2021-02-02,3,2
2021-02-02,4,1
2021-02-03,1,1
2021-02-03,2,2
2021-02-03,3,2
2021-02-03,4,1
2021-02-05,1,1
2021-02-05,3,1
2021-02-05,5,2
2021-02-06,1,1
2021-02-06,2,2
2021-02-06,3,1
2021-02-06,4,1
2021-02-07,1,2
2021-02-07,2,1
2021-02-07,3,1
2021-02-09,1,3
2021-02-09,2,2
2021-02-09,3,1
2021-02-10,1,2
2021-02-10,2,1
2021-02-10,3,1
2021-02-10,4,1
2021-02-11,1,1
2021-02-11,3,3
2021-02-12,1,3
2021-02-13,1,1
2021-02-13,2,3
2021-02-14,1,1
2021-02-14,2,1
2021-02-15,1,1
2021-02-15,2,1
2021-02-15,3,3
2021-02-15,4,1
2021-02-16,1,1
2021-02-16,2,2
2021-02-16,3,4
2021-02-16,4,1
2021-02-17,1,2
2021-02-17,2,2
2021-02-17,3,4
2021-02-17,6,1
2021-02-18,1,3
2021-02-18,3,2
2021-02-19,1,3
2021-02-19,2,6
2021-02-19,3,2
2021-02-20,3,4
2021-02-20,4,1
2021-02-21,2,1
2021-02-22,1,6
2021-02-22,2,1
2021-02-23,1,2
2021-02-23,2,1
2021-02-24,2,3
2021-02-24,3,4
2021-02-24,5,1
2021-02-25,1,7
2021-02-25,2,2
2021-02-26,1,3
2021-02-26,3,2
2021-02-26,4,2
2021-02-27,3,1
2021-02-28,1,10
2021-02-28,2,5
2021-02-28,3,1
2021-02-28,4,1
2021-03-01,1,29
2021-03-01,2,6
2021-03-01,3,2
2021-03-01,4,1
2021-03-02,1,1
2021-03-02,2,2
2021-03-02,4,1
2021-03-03,1,16
2021-03-03,2,6
2021-03-03,3,7
2021-03-03,4,1
2021-03-03,6,1
2021-03-04,1,22
2021-03-04,2,5
2021-03-04,3,9
2021-03-04,4,3
2021-03-05,1,7
2021-03-05,4,3
2021-03-06,1,13
2021-03-06,2,4
2021-03-06,3,9
2021-03-06,4,2
2021-03-07,1,1
2021-03-07,2,2
2021-03-07,3,2
2021-03-08,1,17
2021-03-08,2,8
2021-03-08,3,11
2021-03-08,4,2
2021-03-08,5,1
2021-03-08,6,1
2021-03-09,1,3
2021-03-09,2,2
2021-03-09,3,2
2021-03-09,4,1
2021-03-10,1,18
2021-03-10,2,4
2021-03-10,3,7
2021-03-10,4,1
2021-03-10,5,1
2021-03-10,6,1
2021-03-11,1,1
2021-03-11,2,1
2021-03-11,3,4
2021-03-12,1,13
2021-03-12,2,4
2021-03-12,3,3
2021-03-12,4,4
2021-03-12,5,1
2021-03-12,6,1
2021-03-13,1,2
2021-03-13,2,3
2021-03-13,4,1
2021-03-14,1,16
2021-03-14,2,2
2021-03-14,3,7
2021-03-14,4,6
2021-03-15,1,5
2021-03-15,2,5
2021-03-15,3,2
2021-03-15,4,3
2021-03-16,1,8
2021-03-16,2,5
2021-03-16,3,10
2021-03-16,4,4
2021-03-17,1,7
2021-03-17,3,1
2021-03-18,1,4
2021-03-18,2,2
2021-03-18,3,3
2021-03-18,4,2
2021-03-18,5,1
2021-03-19,1,3
2021-03-19,2,9
2021-03-19,3,9
2021-03-19,4,6
2021-03-19,6,1
2021-03-20,2,2
2021-03-20,3,1
2021-03-20,4,1
2021-03-21,2,1
2021-03-21,3,1
2021-03-21,4,1
2021-03-22,1,4
2021-03-22,2,4
2021-03-22,3,5
2021-03-22,4,2
2021-03-23,0,1
2021-03-23,1,14
2021-03-23,2,6
2021-03-23,3,7
2021-03-23,4,3
2021-03-23,5,2
2021-03-24,1,9
2021-03-24,2,8
2021-03-24,3,4
2021-03-24,4,6
2021-03-25,1,7
2021-03-25,2,2
2021-03-25,3,3
2021-03-25,4,1
2021-03-26,1,3
2021-03-26,2,8
2021-03-26,3,4
2021-03-26,4,3
2021-03-26,5,1
2021-03-26,6,1
2021-03-27,0,1
2021-03-27,1,20
2021-03-27,2,6
2021-03-27,3,2
2021-03-27,4,2
2021-03-28,1,19
2021-03-28,2,6
2021-03-28,3,6
2021-03-28,4,3
2021-03-28,5,1
2021-03-29,1,17
2021-03-29,2,13
2021-03-29,3,12
2021-03-29,4,2
2021-03-29,5,2
2021-03-30,1,23
2021-03-30,2,15
2021-03-30,3,9
2021-03-30,4,5
2021-03-31,1,8
2021-03-31,2,16
2021-03-31,3,14
2021-03-31,4,3
2021-04-01,1,7
2021-04-01,2,4
2021-04-01,3,2
2021-04-02,1,26
2021-04-02,2,4
2021-04-02,3,9
2021-04-02,4,4
2021-04-02,5,3
2021-04-03,2,3
2021-04-03,3,1
2021-04-04,1,3
2021-04-04,2,3
2021-04-04,3,3
2021-04-04,4,4
2021-04-05,1,7
2021-04-05,2,10
2021-04-05,3,8
2021-04-05,4,3
2021-04-06,1,7
2021-04-06,2,13
2021-04-06,3,5
2021-04-06,4,1
2021-04-06,7,1
2021-04-07,1,8
2021-04-07,2,7
2021-04-07,3,9
2021-04-07,4,3
2021-04-07,5,1
2021-04-08,1,1
2021-04-08,2,5
2021-04-08,3,8
2021-04-08,4,4
2021-04-09,1,2
2021-04-09,2,5
2021-04-09,3,5
2021-04-09,4,2
2021-04-09,5,1
2021-04-10,1,4
2021-04-10,2,2
2021-04-10,3,8
2021-04-10,4,6
2021-04-11,1,1
2021-04-11,2,1
2021-04-11,3,2
2021-04-12,1,1
2021-04-12,2,1
2021-04-12,3,1
2021-04-13,1,3
2021-04-13,2,5
2021-04-13,3,2
2021-04-13,4,6
2021-04-13,5,1
2021-04-14,1,3
2021-04-14,2,6
2021-04-14,3,8
2021-04-14,4,3
2021-04-14,5,1
2021-04-15,2,3
2021-04-15,3,3
2021-04-15,4,1
2021-04-15,5,1
2021-04-16,1,2
2021-04-16,2,4
2021-04-16,3,11
2021-04-16,4,2
2021-04-17,1,2
2021-04-17,2,3
2021-04-17,3,8
2021-04-17,4,2
2021-04-17,5,1
2021-04-18,3,1
2021-04-18,5,1
2021-04-19,1,2
2021-04-19,2,5
2021-04-19,3,7
2021-04-19,4,5
2021-04-19,6,1
2021-04-20,2,1
2021-04-20,3,4
2021-04-21,1,1
2021-04-21,3,3
2021-04-21,4,6
2021-04-21,5,1
2021-04-22,1,13
2021-04-22,2,8
2021-04-22,3,3
2021-04-22,4,4
2021-04-23,1,8
2021-04-23,2,5
2021-04-23,3,3
2021-04-23,4,3
2021-04-23,5,1
2021-04-24,2,1
2021-04-25,1,1
2021-04-25,2,2
2021-04-25,3,6
2021-04-25,4,1
2021-04-26,1,10
2021-04-26,2,6
2021-04-26,3,5
2021-04-26,5,1
2021-04-27,2,3
2021-04-27,3,2
2021-04-27,4,3
2021-04-27,5,1
2021-04-27,6,1
2021-04-28,2,5
2021-04-28,3,5
2021-04-28,4,1
2021-04-28,5,2
2021-04-29,1,5
2021-04-29,2,5
2021-04-29,3,8
2021-04-29,4,2
2021-04-30,2,4
2021-04-30,3,2
2021-04-30,4,3
2021-04-30,6,1
2021-05-01,1,6
2021-05-01,2,9
2021-05-01,3,6
2021-05-01,4,1
2021-05-01,5,3
2021-05-02,1,1
2021-05-02,2,2
2021-05-02,3,3
2021-05-02,4,2
2021-05-03,1,3
2021-05-03,2,9
2021-05-03,3,5
2021-05-03,4,1
2021-05-03,5,3
2021-05-04,1,4
2021-05-04,2,8
2021-05-04,3,8
2021-05-04,4,5
2021-05-05,1,2
2021-05-05,2,3
2021-05-05,3,8
2021-05-05,4,1
2021-05-05,5,1
2021-05-06,1,3
2021-05-06,2,5
2021-05-06,3,7
2021-05-06,4,2
2021-05-06,5,1
2021-05-07,1,2
2021-05-07,2,8
2021-05-07,3,3
2021-05-07,4,2
2021-05-07,5,1
2021-05-08,2,2
2021-05-08,3,2
2021-05-08,6,1
2021-05-09,1,2
2021-05-09,2,3
2021-05-09,3,4
2021-05-09,4,1
2021-05-10,1,11
2021-05-10,2,6
2021-05-10,3,5
2021-05-10,4,2
2021-05-10,5,2
2021-05-11,1,4
2021-05-11,2,9
2021-05-11,3,4
2021-05-11,4,4
2021-05-11,5,2
2021-05-12,1,4
2021-05-12,2,3
2021-05-12,3,3
2021-05-12,6,1
2021-05-13,2,10
2021-05-13,3,2
2021-05-13,4,4
2021-05-14,1,1
2021-05-14,2,2
2021-05-14,3,6
2021-05-14,4,1
2021-05-14,5,1
2021-05-15,1,15
2021-05-15,2,1
2021-05-15,3,2
2021-05-16,2,2
2021-05-16,3,1
2021-05-17,1,2
2021-05-17,2,5
2021-05-17,3,1
2021-05-17,4,3
2021-05-18,1,9
2021-05-18,2,3
2021-05-18,3,8
2021-05-18,4,1
2021-05-18,5,1
2021-05-19,1,2
2021-05-19,2,7
2021-05-19,3,6
2021-05-19,4,3
2021-05-20,2,5
2021-05-20,3,1
2021-05-20,5,1
2021-05-21,1,2
2021-05-21,2,5
2021-05-21,3,8
2021-05-22,1,3
2021-05-22,2,9
2021-05-22,3,14
2021-05-22,4,3
2021-05-22,5,1
2021-05-23,2,1
2021-05-23,3,2
2021-05-23,4,2
2021-05-24,1,2
2021-05-24,2,4
2021-05-24,3,7
2021-05-24,4,5
2021-05-24,5,1
2021-05-25,1,1
2021-05-25,2,7
2021-05-25,3,8
2021-05-25,4,1
2021-05-26,1,1
2021-05-26,2,5
2021-05-26,3,2
2021-05-26,4,2
2021-05-26,5,1
2021-05-26,6,1
2021-05-27,2,3
2021-05-27,3,7
2021-05-27,4,2
2021-05-28,2,5
2021-05-28,3,10
2021-05-28,4,2
2021-05-28,5,1
2021-05-29,1,1
2021-05-29,2,4
2021-05-29,3,1
2021-05-29,4,1
2021-05-29,5,1
2021-05-30,1,1
2021-05-30,2,5
2021-05-30,3,5
2021-05-30,4,4
2021-05-31,2,2
2021-05-31,3,7
2021-05-31,4,3
2021-05-31,5,1
2021-06-01,1,4
2021-06-01,2,10
2021-06-01,3,13
2021-06-01,4,6
2021-06-01,5,1
2021-06-01,6,1
2021-06-02,1,1
2021-06-02,2,5
2021-06-02,3,12
2021-06-02,4,4
2021-06-02,6,1
2021-06-03,1,3
2021-06-03,2,5
2021-06-03,3,5
2021-06-03,4,3
2021-06-03,5,1
2021-06-04,2,3
2021-06-04,3,8
2021-06-04,4,1
2021-06-04,5,1
2021-06-05,1,4
2021-06-05,2,6
2021-06-05,3,2
2021-06-05,4,1
2021-06-06,2,10
2021-06-06,3,11
2021-06-06,4,3
2021-06-07,2,8
2021-06-07,3,10
2021-06-07,4,4
2021-06-07,5,3
2021-06-08,1,3
2021-06-08,2,9
2021-06-08,3,9
2021-06-08,4,5
2021-06-08,5,1
2021-06-08,8,1
2021-06-09,1,2
2021-06-09,2,4
2021-06-09,3,11
2021-06-09,4,8
2021-06-10,1,1
2021-06-10,2,3
2021-06-10,3,14
2021-06-10,4,4
2021-06-10,5,1
2021-06-10,7,1
2021-06-11,2,11
2021-06-11,3,5
2021-06-11,4,5
2021-06-11,5,1
2021-06-12,1,1
2021-06-12,2,6
2021-06-12,3,4
2021-06-12,4,2
2021-06-12,5,1
2021-06-13,1,1
2021-06-13,2,7
2021-06-13,3,5
2021-06-13,4,7
2021-06-13,5,1
2021-06-14,2,5
2021-06-14,3,4
2021-06-14,4,4
2021-06-14,5,3
2021-06-14,7,1
2021-06-15,2,6
2021-06-15,3,11
2021-06-15,4,2
2021-06-15,6,1
2021-06-16,2,8
2021-06-16,3,11
2021-06-16,4,4
2021-06-16,5,2
2021-06-17,1,3
2021-06-17,2,5
2021-06-17,3,10
2021-06-17,4,8
2021-06-17,5,3
2021-06-17,6,1
2021-06-18,1,4
2021-06-18,2,4
2021-06-18,3,3
2021-06-18,4,4
2021-06-18,5,1
2021-06-19,2,3
2021-06-19,3,2
2021-06-20,2,4
2021-06-20,3,2
2021-06-20,4,1
2021-06-20,5,1
2021-06-21,1,5
2021-06-21,2,4
2021-06-21,3,12
2021-06-21,4,6
2021-06-21,5,2
2021-06-22,1,1
2021-06-22,2,16
2021-06-22,3,11
2021-06-22,4,4
2021-06-22,5,2
2021-06-23,1,3
2021-06-23,2,11
2021-06-23,3,10
2021-06-23,4,8
2021-06-23,5,3
2021-06-24,1,3
2021-06-24,2,3
2021-06-24,3,7
2021-06-24,4,4
2021-06-24,5,1
2021-06-25,1,6
2021-06-25,2,12
2021-06-25,3,15
2021-06-25,4,2
2021-06-26,1,2
2021-06-26,2,8
2021-06-26,3,16
2021-06-26,4,6
2021-06-27,2,9
2021-06-27,3,18
2021-06-27,4,4
2021-06-27,5,2
2021-06-28,1,5
2021-06-28,2,21
2021-06-28,3,12
2021-06-28,4,2
2021-06-28,5,1
2021-06-29,1,3
2021-06-29,2,13
2021-06-29,3,12
2021-06-29,4,7
2021-06-30,1,5
2021-06-30,2,16
2021-06-30,3,10
2021-06-30,4,5
2021-06-30,5,3
2021-07-01,1,2
2021-07-01,2,9
2021-07-01,3,16
2021-07-01,4,3
2021-07-01,5,1
2021-07-02,1,3
2021-07-02,2,15
2021-07-02,3,9
2021-07-02,4,4
2021-07-02,5,2
2021-07-03,2,11
2021-07-03,3,12
2021-07-03,4,7
2021-07-03,5,1
2021-07-04,1,1
2021-07-04,2,9
2021-07-04,3,16
2021-07-04,4,6
2021-07-04,5,3
2021-07-05,1,1
2021-07-05,2,17
2021-07-05,3,7
2021-07-05,4,8
2021-07-05,5,2
2021-07-05,6,1
2021-07-06,1,1
2021-07-06,2,10
2021-07-06,3,10
2021-07-06,4,8
2021-07-06,5,3
2021-07-07,1,4
2021-07-07,2,11
2021-07-07,3,9
2021-07-07,4,6
2021-07-07,5,1
2021-07-07,7,1
2021-07-08,1,6
2021-07-08,2,12
2021-07-08,3,14
2021-07-08,4,6
2021-07-08,6,1
2021-07-09,1,4
2021-07-09,2,5
2021-07-09,3,3
2021-07-09,4,2
2021-07-09,5,3
2021-07-09,7,1
2021-07-10,1,2
2021-07-10,2,6
2021-07-10,3,4
2021-07-10,4,4
2021-07-11,1,1
2021-07-11,2,10
2021-07-11,3,9
2021-07-11,4,3
2021-07-12,1,6
2021-07-12,2,7
2021-07-12,3,7
2021-07-12,4,11
2021-07-12,5,1
2021-07-13,1,16
2021-07-13,2,17
2021-07-13,3,15
2021-07-13,4,5
2021-07-13,5,2
2021-07-14,1,10
2021-07-14,2,9
2021-07-14,3,19
2021-07-14,4,9
2021-07-14,7,2
2021-07-15,1,4
2021-07-15,2,7
2021-07-15,3,11
2021-07-15,4,5
2021-07-15,5,2
2021-07-15,6,1
2021-07-16,1,4
2021-07-16,2,10
2021-07-16,3,3
2021-07-16,4,7
2021-07-16,5,1
2021-07-17,1,1
2021-07-17,2,4
2021-07-17,3,10
2021-07-17,4,1
2021-07-17,5,1
2021-07-18,1,1
2021-07-18,2,1
2021-07-18,3,2
2021-07-18,4,1
2021-07-19,1,12
2021-07-19,2,13
2021-07-19,3,19
2021-07-19,4,7
2021-07-19,5,1
2021-07-20,1,20
2021-07-20,2,16
2021-07-20,3,12
2021-07-20,4,10
2021-07-20,5,2
2021-07-21,1,11
2021-07-21,2,9
2021-07-21,3,8
2021-07-21,4,2
2021-07-21,5,3
2021-07-22,2,4
2021-07-22,3,7
2021-07-22,4,5
2021-07-22,7,1
2021-07-23,1,1
2021-07-23,2,12
2021-07-23,3,9
2021-07-23,4,4
2021-07-24,4,1
2021-07-25,1,1
2021-07-25,2,7
2021-07-25,3,5
2021-07-25,4,1
2021-07-26,1,13
2021-07-26,2,6
2021-07-26,3,6
2021-07-26,4,1
2021-07-26,5,2
2021-07-26,6,1
2021-07-27,1,5
2021-07-27,2,9
